Date,Weekday,Month,Balance_Quarterly,Interest_Quartertly,Balance_Monthly,Interest_Monthly,Balance_Weekly,Interest_Weekly,Balance_Daily,Interest_Daily
01/01/2022,7,1,1,1,1,1,1,1,1,1.002739726
02/01/2022,1,1,1,1,1,1,1,1,1.002739726,1.002739726
03/01/2022,2,1,1,1,1,1,1,1,1.005486958,1.002739726
04/01/2022,3,1,1,1,1,1,1,1,1.008241717,1.002739726
05/01/2022,4,1,1,1,1,1,1,1,1.011004023,1.002739726
06/01/2022,5,1,1,1,1,1,1,1,1.013773897,1.002739726
07/01/2022,6,1,1,1,1,1,1,1,1.01655136,1.002739726
08/01/2022,7,1,1,1,1,1,1,1.019230769,1.019336432,1.002739726
09/01/2022,1,1,1,1,1,1,1.019230769,1,1.022129135,1.002739726
10/01/2022,2,1,1,1,1,1,1.019230769,1,1.024929488,1.002739726
11/01/2022,3,1,1,1,1,1,1.019230769,1,1.027737514,1.002739726
12/01/2022,4,1,1,1,1,1,1.019230769,1,1.030553234,1.002739726
13/01/2022,5,1,1,1,1,1,1.019230769,1,1.033376667,1.002739726
14/01/2022,6,1,1,1,1,1,1.019230769,1,1.036207836,1.002739726
15/01/2022,7,1,1,1,1,1,1.019230769,1.019230769,1.039046762,1.002739726
16/01/2022,1,1,1,1,1,1,1.038831361,1,1.041893465,1.002739726
17/01/2022,2,1,1,1,1,1,1.038831361,1,1.044747968,1.002739726
18/01/2022,3,1,1,1,1,1,1.038831361,1,1.047610291,1.002739726
19/01/2022,4,1,1,1,1,1,1.038831361,1,1.050480456,1.002739726
20/01/2022,5,1,1,1,1,1,1.038831361,1,1.053358485,1.002739726
21/01/2022,6,1,1,1,1,1,1.038831361,1,1.056244398,1.002739726
22/01/2022,7,1,1,1,1,1,1.038831361,1.019230769,1.059138219,1.002739726
23/01/2022,1,1,1,1,1,1,1.058808887,1,1.062039967,1.002739726
24/01/2022,2,1,1,1,1,1,1.058808887,1,1.064949666,1.002739726
25/01/2022,3,1,1,1,1,1,1.058808887,1,1.067867336,1.002739726
26/01/2022,4,1,1,1,1,1,1.058808887,1,1.070793,1.002739726
27/01/2022,5,1,1,1,1,1,1.058808887,1,1.073726679,1.002739726
28/01/2022,6,1,1,1,1,1,1.058808887,1,1.076668396,1.002739726
29/01/2022,7,1,1,1,1,1,1.058808887,1.019230769,1.079618173,1.002739726
30/01/2022,1,1,1,1,1,1,1.079170596,1,1.082576031,1.002739726
31/01/2022,2,1,1,1,1,1,1.079170596,1,1.085541993,1.002739726
01/02/2022,3,2,1,1,1,1.083333333,1.079170596,1,1.08851608,1.002739726
02/02/2022,4,2,1,1,1.083333333,1,1.079170596,1,1.091498316,1.002739726
03/02/2022,5,2,1,1,1.083333333,1,1.079170596,1,1.094488722,1.002739726
04/02/2022,6,2,1,1,1.083333333,1,1.079170596,1,1.097487322,1.002739726
05/02/2022,7,2,1,1,1.083333333,1,1.079170596,1.019230769,1.100494136,1.002739726
06/02/2022,1,2,1,1,1.083333333,1,1.099923877,1,1.103509189,1.002739726
07/02/2022,2,2,1,1,1.083333333,1,1.099923877,1,1.106532501,1.002739726
08/02/2022,3,2,1,1,1.083333333,1,1.099923877,1,1.109564097,1.002739726
09/02/2022,4,2,1,1,1.083333333,1,1.099923877,1,1.112603999,1.002739726
10/02/2022,5,2,1,1,1.083333333,1,1.099923877,1,1.115652229,1.002739726
11/02/2022,6,2,1,1,1.083333333,1,1.099923877,1,1.118708811,1.002739726
12/02/2022,7,2,1,1,1.083333333,1,1.099923877,1.019230769,1.121773766,1.002739726
13/02/2022,1,2,1,1,1.083333333,1,1.121076259,1,1.124847119,1.002739726
14/02/2022,2,2,1,1,1.083333333,1,1.121076259,1,1.127928892,1.002739726
15/02/2022,3,2,1,1,1.083333333,1,1.121076259,1,1.131019108,1.002739726
16/02/2022,4,2,1,1,1.083333333,1,1.121076259,1,1.134117791,1.002739726
17/02/2022,5,2,1,1,1.083333333,1,1.121076259,1,1.137224963,1.002739726
18/02/2022,6,2,1,1,1.083333333,1,1.121076259,1,1.140340647,1.002739726
19/02/2022,7,2,1,1,1.083333333,1,1.121076259,1.019230769,1.143464868,1.002739726
20/02/2022,1,2,1,1,1.083333333,1,1.142635418,1,1.146597649,1.002739726
21/02/2022,2,2,1,1,1.083333333,1,1.142635418,1,1.149739012,1.002739726
22/02/2022,3,2,1,1,1.083333333,1,1.142635418,1,1.152888982,1.002739726
23/02/2022,4,2,1,1,1.083333333,1,1.142635418,1,1.156047582,1.002739726
24/02/2022,5,2,1,1,1.083333333,1,1.142635418,1,1.159214836,1.002739726
25/02/2022,6,2,1,1,1.083333333,1,1.142635418,1,1.162390767,1.002739726
26/02/2022,7,2,1,1,1.083333333,1,1.142635418,1.019230769,1.165575399,1.002739726
27/02/2022,1,2,1,1,1.083333333,1,1.164609176,1,1.168768756,1.002739726
28/02/2022,2,2,1,1,1.083333333,1,1.164609176,1,1.171970862,1.002739726
01/03/2022,3,3,1,1,1.083333333,1.083333333,1.164609176,1,1.175181742,1.002739726
02/03/2022,4,3,1,1,1.173611111,1,1.164609176,1,1.178401418,1.002739726
03/03/2022,5,3,1,1,1.173611111,1,1.164609176,1,1.181629915,1.002739726
04/03/2022,6,3,1,1,1.173611111,1,1.164609176,1,1.184867257,1.002739726
05/03/2022,7,3,1,1,1.173611111,1,1.164609176,1.019230769,1.188113469,1.002739726
06/03/2022,1,3,1,1,1.173611111,1,1.187005507,1,1.191368574,1.002739726
07/03/2022,2,3,1,1,1.173611111,1,1.187005507,1,1.194632597,1.002739726
08/03/2022,3,3,1,1,1.173611111,1,1.187005507,1,1.197905563,1.002739726
09/03/2022,4,3,1,1,1.173611111,1,1.187005507,1,1.201187496,1.002739726
10/03/2022,5,3,1,1,1.173611111,1,1.187005507,1,1.204478421,1.002739726
11/03/2022,6,3,1,1,1.173611111,1,1.187005507,1,1.207778362,1.002739726
12/03/2022,7,3,1,1,1.173611111,1,1.187005507,1.019230769,1.211087344,1.002739726
13/03/2022,1,3,1,1,1.173611111,1,1.209832536,1,1.214405391,1.002739726
14/03/2022,2,3,1,1,1.173611111,1,1.209832536,1,1.217732529,1.002739726
15/03/2022,3,3,1,1,1.173611111,1,1.209832536,1,1.221068783,1.002739726
16/03/2022,4,3,1,1,1.173611111,1,1.209832536,1,1.224414177,1.002739726
17/03/2022,5,3,1,1,1.173611111,1,1.209832536,1,1.227768736,1.002739726
18/03/2022,6,3,1,1,1.173611111,1,1.209832536,1,1.231132486,1.002739726
19/03/2022,7,3,1,1,1.173611111,1,1.209832536,1.019230769,1.234505452,1.002739726
20/03/2022,1,3,1,1,1.173611111,1,1.233098546,1,1.237887659,1.002739726
21/03/2022,2,3,1,1,1.173611111,1,1.233098546,1,1.241279132,1.002739726
22/03/2022,3,3,1,1,1.173611111,1,1.233098546,1,1.244679896,1.002739726
23/03/2022,4,3,1,1,1.173611111,1,1.233098546,1,1.248089978,1.002739726
24/03/2022,5,3,1,1,1.173611111,1,1.233098546,1,1.251509403,1.002739726
